Num,Description,Implémentation,Nom,Valeur_attendue,Type_test,Type_règle
R1,Votre connexion vers Internet est filtrée correctement par votre pare-feu,Fait,Filtrage Internet,1,bool,Routage
R3,Vérification des connexions actives,Fait,Active,1,bool,Routage
R4,Les statistiques systèmes sont corrects,Fait,Stats,1,bool,Protocole
R5,Vérification des connexions TCP/IP actives,Fait,TcpIp,1,bool,Routage
R6,Vérification de la mémoire disponible,Fait,Mem,1,bool,Equipement
R7,Vérification de l’espace disque disponible,Fait,Espace,1,bool,Equipement
R8,Les journaux pare-feu sont disponibles et sont corrects,Fait,JourPar,1,bool,Protection
R9,La configuration DNS est bien effectuée ,Fait,ConfDns,1,bool,Protocole
R10,Le VPN est présent et bien configuré ,Fait,ConVpn,1,bool,Equipement
R11,Les journaux DHCP sont disponibles et sont corrects,Fait,JourDHCP,1,bool,Protocole
R12,Le pare-feu est correctement paramétré,Fait,ConfPar,1,bool,Protection
R13,NAT est correctement configuré ,Fait,ConfNAT,1,bool,Protocole
R14,Vérification que le service NTP fonctionne correctement ,Fait,EtaNTP,1,bool,Protocole
R15,Vérifier que la passerelle par défaut existe et qu’elle est correctement configurée,Fait,PassDef,1,bool,Routage
R16,Vérification des connexions SSH actives,Fait,SSHAct,1,bool,Routage
R17,Les journaux OpenVPN sont disponibles et sont corrects,Fait,JourOVPN,1,bool,Protocole
R18,Vérifier que les redirections de port sont bien paramétrés,Fait,RedirPort,1,bool,Routage
R19,Vérifier que le serveur Squid fonctionne ,Fait,EtatSquid,1,bool,Equipement
R20,Les journaux du proxy Squid sont disponibles et sont corrects,Fait,JourSquid,1,bool,Equipement
R21,Vérification que le DNS Resolver fonctionne correctement ,Fait,EtaDNS,1,bool,Routage
R22,Vérification que le DHCP fonctionne correctement ,Fait,EtaDHCP,1,bool,Protocole
R23,La version TLS doit être supérieur ou égale à 1.3,Fait,TLS,1.3,float,Protocole
R24,Le SI doit utiliser IPSEC,Fait,IPSEC,1,bool,Protocole
R25,La connexion à internet doit être filtré par une DMZ,Fait,Filtre,1,bool,Routage
R26,Connexion en SSH autorisée,Fait,SSH,1,bool,Protocole
R27,Utiliser obligatoirement un VPN pour connexion à distance,Fait,VPN,1,bool,Protocole
R28,Redondance des équipements,Fait,Redondance,1,bool,Equipement
R29,Autoriser les flux internes entrants ,Fait,Flux1,1,bool,Routage
R30,Bloquer les flux externes de sources inconnus ,Fait,Flux2,0,bool,Routage
R31,Habilitation paramétrage des équipements réseaux,Fait,Parametrage,1,bool,Equipement
R32,Confidentialité des informations sensibles par système de classe,Fait,Confidentialite,1,bool,Protection
R33,Interconnexion des SI internes,Fait,Interconnexion,1,bool,Protection
R34,"Délimitation des classes des SI (0,1 ou 2)",Fait,Classe,1,bool,Protection
R35,Utilisation de proxy filtrant,Fait,Proxy,1,bool,Protection
R36,Chiffrement des informations sensibles,Fait,Chiffrement,1,bool,Protection
R37,Interdire l'accès aux applications sensibles depuis les SI,Fait,Acces,0,bool,Protection
R38,Système d'échanges sécurisés,Fait,Transfert,1,bool,Protocole
R39,Cloisonnement du SI,Fait,Cloisonnement1,1,bool,Routage
R40,Durcissement du SI,Fait,Cloisonnement2,1,bool,Routage
R41,Code couleur pour le câblage des équipements,Fait,Reconnaissance,1,bool,Equipement
R42,Protéger les secrets d'authentifications ,Fait,SSO,1,bool,Protocole
R2,Votre pare-feu contient des règles nécessaires à la protection de votre SI,Fait,Pare-feux,1,bool,Routage
