Num,Description,Implémentation
R2,Séparation physique OU Vlan pour séparer admin et réseau métier,En cours 
R3,Ne pas désactiver le port console,En cours 
R6,Désactiver serveur web du commutateur,En cours  
R7,Supprimer les certificat par défaut,En cours   
R9,Unique adresse IP par commutateurs,En cours   
R10,Filtrage pare-feu pour donner accès aux commutateurs juste à l'admin,En cours  
R11,Activer la journalisation des authentifications,En cours   
R45,Synchroniser heure commutateurs et heure SI,En cours  
R4,Utiliser version 2 de SSH,En cours  
R13,Compte nominatif,En cours   
R15,Fonction enable désactivé (accès compte admin si mot de passe),En cours  
R16,Gestion des comptes centralisée,En cours  
R18,Suppression des comptes par défaut sauf un compte de secours,En cours  
R22,Mot de passe respecte la PSSI de l'entreprise,En cours   
R23,Pas de bannière de connexion,En cours  
R25,Désactiver configuration auto des vlan,En cours  
R26,Interdire conf auto des ports,En cours   
R27,Les ports non utilisés sont associés à un VLAN de quarantaine,En cours   
R31,Routage interVlan désactivé sur les commutateurs d'accès,En cours  
R32,Mandataire ARP désactivé sur les commutateurs d'accès,En cours  
R33,Source routing désactivé,En cours   
R34,Désactiver les ports non utilisés,En cours   

